Kecamatan,Desa,Pos Pengungsi,target_beras_kg_hari,target_mie_instan_bks_hari,target_minyak_kg_hari,target_protein_kg_hari,target_mpasi_pkt_hari,target_air_bersih_ltr_hari,target_air_minum_ltr_hari,target_air_botol600ml_hari,target_keran_air,target_luas_shelter_m2,target_alas_tidur,target_luas_lahan_m2,target_tempat_sampah_100l,target_tempat_sampah_besar,target_jamban,target_tempat_cuci,target_panci_baskom_pkt,target_ember_jerigen_pkt,target_kompor,target_sabun_mandi_bln,target_sabun_cuci_bln,target_pembalut_bln,target_popok_bayi_bln,target_sikat_pasta_gigi_bln
Cugenang,Cibulakan,posko babakanimangan,120.0,1500,6.0,15.0,17,4500,750.0,1500,2,900,300,9000,6,1,15,3,170,170,170,300,300,160,204,300
Cugenang,Cijedil,barpin 02,28.0,350,1.4,3.5,7,1050,175.0,350,1,210,70,2100,2,1,4,1,20,20,20,70,70,40,84,70
Cugenang,Cijedil,Cijedil d ratna kafe resto,170.0,2125,8.5,21.25,0,6375,1062.5,2125,3,1275,425,12750,9,1,22,5,107,107,107,425,425,0,0,425
Cugenang,Cijedil,Cijedil kopasus,560.0,7000,28.0,70.0,230,21000,3500.0,7000,7,4200,1400,42000,28,3,70,14,500,500,500,1400,1400,800,2760,1400
Cugenang,Cijedil,Gunung lanjung 2 RW 07,680.4,8505,34.02,85.05,140,25515,4252.5,8505,9,5103,1701,51030,35,4,86,18,837,837,837,1701,1701,0,1680,1701
Cugenang,Cijedil,kp banjarpinang rt 2,36.0,450,1.8,4.5,11,1350,225.0,450,1,270,90,2700,2,1,5,1,20,20,20,90,90,50,132,90
Cugenang,Cijedil,Pamengpeuk,1000.0,12500,50.0,125.0,75,37500,6250.0,12500,13,7500,2500,75000,50,5,125,25,500,500,500,2500,2500,0,900,2500
Cugenang,Cijedil,Poko RW 12,35.6,445,1.78,4.45,7,1335,222.5,445,1,267,89,2670,2,1,5,1,55,55,55,89,89,35,84,89
Cugenang,Cijedil,Pos palalangon tapal kuda,12.0,150,0.6,1.5,0,450,75.0,150,1,90,30,900,1,1,2,1,30,30,30,30,30,0,0,30
Cugenang,Cijedil,posko kemanusiaan BIN,96.0,1200,4.8,12.0,11,3600,600.0,1200,2,720,240,7200,5,1,12,3,120,120,120,240,240,120,132,240
Cugenang,Cijedil,rt 01 kp banjarpinang,88.0,1100,4.4,11.0,60,3300,550.0,1100,2,660,220,6600,5,1,11,3,143,143,143,220,220,140,720,220
Cugenang,Cirumput,kp.tugu,11.2,140,0.56,1.4,2,420,70.0,140,1,84,28,840,1,1,2,1,9,9,9,28,28,15,24,28
Cugenang,Cirumput,Nagrog Cirumput,5.2,65,0.26,0.65,4,195,32.5,65,1,39,13,390,1,1,1,1,16,16,16,13,13,37,48,13
Cugenang,Cirumput,pos 1,40.4,505,2.02,5.05,13,1515,252.5,505,1,303,101,3030,3,1,6,2,30,30,30,101,101,56,156,101
Cugenang,Cirumput,posko rt 4 rw 2 Barulega Cirumput,103.2,1290,5.16,12.9,25,3870,645.0,1290,2,774,258,7740,6,1,13,3,81,81,81,258,258,151,300,258
Cugenang,Cirumput,Titik 4,31.6,395,1.58,3.95,14,1185,197.5,395,1,237,79,2370,2,1,4,1,22,22,22,79,79,33,168,79
Cugenang,Cirumput,yayah,4.0,50,0.2,0.5,0,150,25.0,50,1,30,10,300,1,1,1,1,2,2,2,10,10,5,0,10
Cugenang,Galudra,Haregem,72.0,900,3.6,9.0,10,2700,450.0,900,1,540,180,5400,4,1,9,2,150,150,150,180,180,95,120,180
Cugenang,Galudra,Pasir Malang,292.4,3655,14.62,36.55,101,10965,1827.5,3655,4,2193,731,21930,15,2,37,8,205,205,205,731,731,370,1212,731
Cugenang,Galudra,POPONCOL,180.0,2250,9.0,22.5,25,6750,1125.0,2250,3,1350,450,13500,9,1,23,5,146,146,146,450,450,217,300,450
Cugenang,Galudra,Posko 2 Haregem,121.6,1520,6.08,15.2,67,4560,760.0,1520,2,912,304,9120,7,1,16,4,90,90,90,304,304,150,804,304
Cugenang,Galudra,POSKO 3 Hareugeum,174.0,2175,8.7,21.75,7,6525,1087.5,2175,3,1305,435,13050,9,1,22,5,110,110,110,435,435,199,84,435
Cugenang,Galudra,posko galudra,252.0,3150,12.6,31.5,42,9450,1575.0,3150,4,1890,630,18900,13,2,32,7,288,288,288,630,630,256,504,630
Cugenang,Galudra,Posko kondang,241.2,3015,12.06,30.15,41,9045,1507.5,3015,4,1809,603,18090,13,2,31,7,119,119,119,603,603,298,492,603
Cugenang,Gasol,Gasol Rt.03/01,6.8,85,0.34,0.85,0,255,42.5,85,1,51,17,510,1,1,1,1,3,3,3,17,17,7,0,17
Cugenang,Gasol,Kp.munjul rt.01/06,10.8,135,0.54,1.35,2,405,67.5,135,1,81,27,810,1,1,2,1,8,8,8,27,27,15,24,27
Cugenang,Gasol,Kp.Nagrog RT.04/01,12.8,160,0.64,1.6,4,480,80.0,160,1,96,32,960,1,1,2,1,11,11,11,32,32,12,48,32
Cugenang,Gasol,kp.pasir angin kulon rt 04 rw 02,6.0,75,0.3,0.75,0,225,37.5,75,1,45,15,450,1,1,1,1,4,4,4,15,15,6,0,15
Cugenang,Gasol,Munjul2,17.6,220,0.88,2.2,6,660,110.0,220,1,132,44,1320,1,1,3,1,13,13,13,44,44,19,72,44
Cugenang,Gasol,Nagrog RT.04/01,13.2,165,0.66,1.65,3,495,82.5,165,1,99,33,990,1,1,2,1,11,11,11,33,33,12,36,33
Cugenang,Gasol,Pasir Angin,15.2,190,0.76,1.9,5,570,95.0,190,1,114,38,1140,1,1,2,1,12,12,12,38,38,19,60,38
Cugenang,Gasol,pos cikadu 1 rt 1 rw 3,46.8,585,2.34,5.85,15,1755,292.5,585,1,351,117,3510,3,1,6,2,36,36,36,117,117,51,180,117
Cugenang,Gasol,Posko 1 Cikadu 1,58.8,735,2.94,7.35,16,2205,367.5,735,1,441,147,4410,3,1,8,2,44,44,44,147,147,69,192,147
Cugenang,Gasol,posko 2,450.8,5635,22.54,56.35,94,16905,2817.5,5635,6,3381,1127,33810,23,3,57,12,326,326,326,1127,1127,500,1128,1127
Cugenang,Gasol,posko 3,22.0,275,1.1,2.75,4,825,137.5,275,1,165,55,1650,2,1,3,1,7,7,7,55,55,9,48,55
Cugenang,Gasol,posko 4,30.8,385,1.54,3.85,10,1155,192.5,385,1,231,77,2310,2,1,4,1,20,20,20,77,77,38,120,77
Cugenang,Gasol,posko bu eli,27.2,340,1.36,3.4,10,1020,170.0,340,1,204,68,2040,2,1,4,1,23,23,23,68,68,32,120,68
Cugenang,Gasol,posko kp munjul 2,200.0,2500,10.0,25.0,50,7500,1250.0,2500,3,1500,500,15000,10,1,25,5,150,150,150,500,500,305,600,500
Cugenang,Gasol,posko kp panahegan,48.0,600,2.4,6.0,16,1800,300.0,600,1,360,120,3600,3,1,6,2,30,30,30,120,120,74,192,120
Cugenang,Gasol,Rt.03.01 desa gasol,122.8,1535,6.14,15.35,56,4605,767.5,1535,2,921,307,9210,7,1,16,4,82,82,82,307,307,154,672,307
Cugenang,Mangunkerta,Pos pengungsian rw 4,80.0,1000,4.0,10.0,6,3000,500.0,1000,1,600,200,6000,4,1,10,2,60,60,60,200,200,0,72,200
Cugenang,Mangunkerta,Pos pengungsian rw 6,480.4,6005,24.02,60.05,0,18015,3002.5,6005,7,3603,1201,36030,25,3,61,13,386,386,386,1201,1201,0,0,1201
Cugenang,Mangunkerta,Posko Cariu,450.8,5635,22.54,56.35,179,16905,2817.5,5635,6,3381,1127,33810,23,3,57,12,270,270,270,1127,1127,301,2148,1127
Cugenang,Nyalindung,posko 2,22.4,280,1.12,2.8,8,840,140.0,280,1,168,56,1680,2,1,3,1,15,15,15,56,56,26,96,56
Cugenang,Padaluyu,BARUJAMA 3,53.2,665,2.66,6.65,8,1995,332.5,665,1,399,133,3990,3,1,7,2,37,37,37,133,133,45,96,133
Cugenang,Padaluyu,BARUJAMAS,65.6,820,3.28,8.2,20,2460,410.0,820,1,492,164,4920,4,1,9,2,125,125,125,164,164,78,240,164
Cugenang,Padaluyu,BARUJAMAS 2,40.0,500,2.0,5.0,18,1500,250.0,500,1,300,100,3000,2,1,5,1,26,26,26,100,100,58,216,100
Cugenang,Padaluyu,BARUJAYA 3,6.4,80,0.32,0.8,1,240,40.0,80,1,48,16,480,1,1,1,1,5,5,5,16,16,6,12,16
Cugenang,Padaluyu,BARUJAYA2,20.0,250,1.0,2.5,5,750,125.0,250,1,150,50,1500,1,1,3,1,17,17,17,50,50,25,60,50
Cugenang,Sarampad,posko 1 cisarua,82.0,1025,4.1,10.25,18,3075,512.5,1025,2,615,205,6150,5,1,11,3,60,60,60,205,205,112,216,205
Cugenang,Sarampad,posko 3 cisarua,42.8,535,2.14,5.35,8,1605,267.5,535,1,321,107,3210,3,1,6,2,33,33,33,107,107,37,96,107
Cugenang,Sarampad,posko cisarua2,63.6,795,3.18,7.95,16,2385,397.5,795,1,477,159,4770,4,1,8,2,62,62,62,159,159,75,192,159
Cugenang,Sukajaya,Pos puncakmanis RT 02 RW 11,14.8,185,0.74,1.85,3,555,92.5,185,1,111,37,1110,1,1,2,1,21,21,21,37,37,14,36,37
Cugenang,Sukajaya,Puncak manis,68.0,850,3.4,8.5,11,2550,425.0,850,1,510,170,5100,4,1,9,2,40,40,40,170,170,148,132,170
Cugenang,Sukamanah,Desa Sukamanah,1750.0,21875,87.5,218.75,434,65625,10937.5,21875,22,13125,4375,131250,88,9,219,44,1274,1274,1274,4375,4375,2127,5208,4375
Cugenang,Sukamanah,Kp. Goledag Rt 02/05,233.2,2915,11.66,29.15,44,8745,1457.5,2915,3,1749,583,17490,12,2,30,6,186,186,186,583,583,325,528,583
Cugenang,Sukamanah,Kp. Kedung Girang Kidul,127.6,1595,6.38,15.95,30,4785,797.5,1595,2,957,319,9570,7,1,16,4,93,93,93,319,319,154,360,319
Cugenang,Sukamanah,Kp. Kedung Hilir RT 03 RW 03,531.2,6640,26.56,66.4,110,19920,3320.0,6640,7,3984,1328,39840,27,3,67,14,394,394,394,1328,1328,644,1320,1328
Cugenang,Sukamanah,Kp. Lembursawah 02/04,321.6,4020,16.08,40.2,87,12060,2010.0,4020,5,2412,804,24120,17,2,41,9,237,237,237,804,804,354,1044,804
Cugenang,Sukamanah,Posko RT 02 RW 07,180.0,2250,9.0,22.5,52,6750,1125.0,2250,3,1350,450,13500,9,1,23,5,138,138,138,450,450,230,624,450
Cugenang,Sukamanah,rw 06,564.4,7055,28.22,70.55,179,21165,3527.5,7055,8,4233,1411,42330,29,3,71,15,416,416,416,1411,1411,661,2148,1411
Cugenang,Sukamulya,Posko Kades,795.2,9940,39.76,99.4,513,29820,4970.0,9940,10,5964,1988,59640,40,4,100,20,7952,7952,7952,1988,1988,5450,6156,1988
Cugenang,Talaga,Koleberes 2,50.0,625,2.5,6.25,11,1875,312.5,625,1,375,125,3750,3,1,7,2,65,65,65,125,125,0,132,125
Cugenang,Talaga,Koleberes 3,81.2,1015,4.06,10.15,16,3045,507.5,1015,2,609,203,6090,5,1,11,3,64,64,64,203,203,0,192,203
Cugenang,Talaga,Lapang sepakbola koleberes,120.0,1500,6.0,15.0,35,4500,750.0,1500,2,900,300,9000,6,1,15,3,81,81,81,300,300,0,420,300
Cugenang,Talaga,Pos 1 yayasab,37.2,465,1.86,4.65,21,1395,232.5,465,1,279,93,2790,2,1,5,1,31,31,31,93,93,0,252,93
Cugenang,Talaga,Posko 04/03 kp angkrong,142.0,1775,7.1,17.75,42,5325,887.5,1775,2,1065,355,10650,8,1,18,4,125,125,125,355,355,168,504,355
Cugenang,Talaga,Posko 2 angkrong,40.8,510,2.04,5.1,8,1530,255.0,510,1,306,102,3060,3,1,6,2,30,30,30,102,102,40,96,102
Cugenang,Talaga,Posko 5 angkrong,13.6,170,0.68,1.7,3,510,85.0,170,1,102,34,1020,1,1,2,1,10,10,10,34,34,18,36,34
Cugenang,Wangunjaya,Harempoy,92.0,1150,4.6,11.5,15,3450,575.0,1150,2,690,230,6900,5,1,12,3,72,72,72,230,230,110,180,230
Cugenang,Wangunjaya,Kdu dedr,128.0,1600,6.4,16.0,43,4800,800.0,1600,2,960,320,9600,7,1,16,4,78,78,78,320,320,160,516,320
Cugenang,Wangunjaya,Kp. Buni Pasir 2 RT.01/06,6.4,80,0.32,0.8,2,240,40.0,80,1,48,16,480,1,1,1,1,5,5,5,16,16,9,24,16
Cugenang,Wangunjaya,Kp. Buni Pasir RT.01 RW.06,10.0,125,0.5,1.25,3,375,62.5,125,1,75,25,750,1,1,2,1,6,6,6,25,25,11,36,25
Cugenang,Wangunjaya,Mawar,8.8,110,0.44,1.1,5,330,55.0,110,1,66,22,660,1,1,2,1,7,7,7,22,22,12,60,22
Cugenang,Wangunjaya,pos 2,23.2,290,1.16,2.9,3,870,145.0,290,1,174,58,1740,2,1,3,1,19,19,19,58,58,28,36,58
Cugenang,Wangunjaya,pos cipicung,200.0,2500,10.0,25.0,30,7500,1250.0,2500,3,1500,500,15000,10,1,25,5,83,83,83,500,500,300,360,500
Cugenang,Wangunjaya,pos pasir mangu,64.0,800,3.2,8.0,8,2400,400.0,800,1,480,160,4800,4,1,8,2,40,40,40,160,160,100,96,160
Cugenang,Wangunjaya,posko 1 kp pasir gombong rt 04/05,7.6,95,0.38,0.95,1,285,47.5,95,1,57,19,570,1,1,1,1,8,8,8,19,19,0,12,19
Cugenang,Wangunjaya,"posko 1 PAWENANG 01,02",64.8,810,3.24,8.1,6,2430,405.0,810,1,486,162,4860,4,1,9,2,43,43,43,162,162,78,72,162
Cugenang,Wangunjaya,posko 3,23.6,295,1.18,2.95,7,885,147.5,295,1,177,59,1770,2,1,3,1,17,17,17,59,59,32,84,59
Cugenang,Wangunjaya,posko 6,41.2,515,2.06,5.15,14,1545,257.5,515,1,309,103,3090,3,1,6,2,33,33,33,103,103,64,168,103
Cugenang,Wangunjaya,posko 7,8.8,110,0.44,1.1,6,330,55.0,110,1,66,22,660,1,1,2,1,7,7,7,22,22,10,72,22
Cugenang,Wangunjaya,Posko pasir mincang,166.8,2085,8.34,20.85,25,6255,1042.5,2085,3,1251,417,12510,9,1,21,5,119,119,119,417,417,0,300,417
Cugenang,Wangunjaya,Posko rasid kulon,67.6,845,3.38,8.45,18,2535,422.5,845,1,507,169,5070,4,1,9,2,57,57,57,169,169,84,216,169
Cugenang,Wangunjaya,"Posko RT 01 RW 01 Kp,Sesepan Desa Wangunjaya",42.0,525,2.1,5.25,20,1575,262.5,525,1,315,105,3150,3,1,6,2,33,33,33,105,105,73,240,105
Cugenang,Wangunjaya,POSKO RT 02/05,52.0,650,2.6,6.5,14,1950,325.0,650,1,390,130,3900,3,1,7,2,45,45,45,130,130,90,168,130
Cugenang,Wangunjaya,Posko4,81.6,1020,4.08,10.2,16,3060,510.0,1020,2,612,204,6120,5,1,11,3,66,66,66,204,204,104,192,204
Cugenang,Wangunjaya,Ppsko kadu gede,71.2,890,3.56,8.9,15,2670,445.0,890,1,534,178,5340,4,1,9,2,58,58,58,178,178,88,180,178
Cugenang,Wangunjaya,rw.06,120.0,1500,6.0,15.0,50,4500,750.0,1500,2,900,300,9000,6,1,15,3,113,113,113,300,300,202,600,300
Cugenang,Wangunjaya,Tanjakan rasid,12.4,155,0.62,1.55,1,465,77.5,155,1,93,31,930,1,1,2,1,6,6,6,31,31,17,12,31
Cugenang,Wangunjaya,Wangunjaya,20.4,255,1.02,2.55,4,765,127.5,255,1,153,51,1530,2,1,3,1,12,12,12,51,51,25,48,51
Cugenang,Wangunjaya,Yayasan hpg,34.8,435,1.74,4.35,9,1305,217.5,435,1,261,87,2610,2,1,5,1,16,16,16,87,87,37,108,87
Gekbrong,Cikahuripan,Cihurip,28.8,360,1.44,3.6,20,1080,180.0,360,1,216,72,2160,2,1,4,1,17,17,17,72,72,40,240,72
Gekbrong,Cikancana,Posko bojongsari,494.4,6180,24.72,61.8,116,18540,3090.0,6180,7,3708,1236,37080,25,3,62,13,380,380,380,1236,1236,0,1392,1236
Gekbrong,Cikancana,Posko Cibeleng,163.2,2040,8.16,20.4,54,6120,1020.0,2040,3,1224,408,12240,9,1,21,5,80,80,80,408,408,210,648,408
Gekbrong,Cintaasih,mandandiri,22.0,275,1.1,2.75,18,825,137.5,275,1,165,55,1650,2,1,3,1,55,55,55,55,55,14,216,55
Gekbrong,Cintaasih,Pos lio,12.8,160,0.64,1.6,3,480,80.0,160,1,96,32,960,1,1,2,1,11,11,11,32,32,14,36,32
Gekbrong,Cintaasih,Pos taneh berem,98.4,1230,4.92,12.3,31,3690,615.0,1230,2,738,246,7380,5,1,13,3,74,74,74,246,246,103,372,246
Pacet,Ciherang,Pa abuy,120.0,1500,6.0,15.0,17,4500,750.0,1500,2,900,300,9000,6,1,15,3,107,107,107,300,300,160,204,300
Pacet,Ciherang,Pos 1 kp baros 03/10,213.2,2665,10.66,26.65,58,7995,1332.5,2665,3,1599,533,15990,11,2,27,6,168,168,168,533,533,286,696,533
Pacet,Ciherang,Pos 1 Kp. Buniaga Neglasari,18.4,230,0.92,2.3,6,690,115.0,230,1,138,46,1380,1,1,3,1,9,9,9,46,46,24,72,46
Pacet,Ciherang,Pos 2 Kp. Buniaga Neglasari,18.4,230,0.92,2.3,7,690,115.0,230,1,138,46,1380,1,1,3,1,9,9,9,46,46,24,84,46
Pacet,Ciherang,Pos 3 Kp. Buniaga Neglasari,14.0,175,0.7,1.75,8,525,87.5,175,1,105,35,1050,1,1,2,1,13,13,13,35,35,19,96,35
Pacet,Ciherang,Pos 4 Desa Buniaga Neglasari,33.2,415,1.66,4.15,10,1245,207.5,415,1,249,83,2490,2,1,5,1,20,20,20,83,83,42,120,83
Pacet,Ciherang,Pos 5 Kp. Buniaga Neglasari RT.03/07,45.6,570,2.28,5.7,10,1710,285.0,570,1,342,114,3420,3,1,6,2,37,37,37,114,114,57,120,114
Pacet,Ciherang,Pos 6 Kp. Buniaga Neglasari,36.8,460,1.84,4.6,12,1380,230.0,460,1,276,92,2760,2,1,5,1,35,35,35,92,92,50,144,92
Pacet,Ciherang,Pos rw.03,116.0,1450,5.8,14.5,5,4350,725.0,1450,2,870,290,8700,6,1,15,3,70,70,70,290,290,0,60,290
Pacet,Ciherang,Pos.54,56.0,700,2.8,7.0,40,2100,350.0,700,1,420,140,4200,3,1,7,2,41,41,41,140,140,70,480,140
Pacet,Ciherang,Posko 2 Sawala Pak Kades,34.4,430,1.72,4.3,17,1290,215.0,430,1,258,86,2580,2,1,5,1,24,24,24,86,86,38,204,86
Pacet,Cipendawa,pos Romo.2,21.6,270,1.08,2.7,5,810,135.0,270,1,162,54,1620,2,1,3,1,13,13,13,54,54,22,60,54
