date,kib_bencana_id,disaster_type,province,city,district,village,posko_id,posko_name,item_category,item_name,unit,anomaly_type,severity,score,target_need_qty,current_stock_qty,requested_qty,distributed_qty,message,action_suggestion
2024-04-21,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Kisihang,POSKO-1A3E3900,Posko Kisihang,perbekalan_pangan,mie_instan,bungkus,critical_stock,medium,0.62,2143.96,1481.26,2498.36,2220.57,Stok hanya 0.38 dari ambang kritis.,Prioritaskan distribusi ulang atau restock dari gudang terdekat.
2024-05-24,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Kisihang,POSKO-1A3E3900,Posko Kisihang,perbekalan_pangan,mie_instan,bungkus,critical_stock,medium,0.59,1151.67,855.66,1128.82,1172.04,Stok hanya 0.41 dari ambang kritis.,Prioritaskan distribusi ulang atau restock dari gudang terdekat.
2024-04-22,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Kisihang,POSKO-1A3E3900,Posko Kisihang,kesehatan,obat_ispa,paket,critical_stock,medium,0.6,145.64,103.69,153.32,158.96,Stok hanya 0.40 dari ambang kritis.,Prioritaskan distribusi ulang atau restock dari gudang terdekat.
2024-05-10,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Kisihang,POSKO-1A3E3900,Posko Kisihang,kesehatan,obat_ispa,paket,demand_spike,high,6.66,130.22,590.68,147.68,149.79,Kebutuhan melonjak 1.37x dibanding rata-rata 7 hari terakhir.,Verifikasi lonjakan pengungsi/request dan siapkan tambahan stok untuk item terkait.
2024-05-19,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Kisihang,POSKO-1A3E3900,Posko Kisihang,kesehatan,obat_ispa,paket,demand_spike,medium,3.06,86.84,175.63,90.96,93.67,Kebutuhan melonjak 1.13x dibanding rata-rata 7 hari terakhir.,Verifikasi lonjakan pengungsi/request dan siapkan tambahan stok untuk item terkait.
2024-05-23,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Kisihang,POSKO-1A3E3900,Posko Kisihang,kesehatan,obat_ispa,paket,critical_stock,medium,0.52,73.57,64.01,80.82,81.54,Stok hanya 0.48 dari ambang kritis.,Prioritaskan distribusi ulang atau restock dari gudang terdekat.
2024-04-21,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Kisihang,POSKO-1A3E3900,Posko Kisihang,kebersihan,pembalut,pcs,critical_stock,medium,0.55,153.34,124.85,150.77,139.42,Stok hanya 0.45 dari ambang kritis.,Prioritaskan distribusi ulang atau restock dari gudang terdekat.
2024-05-25,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Kisihang,POSKO-1A3E3900,Posko Kisihang,kebersihan,pembalut,pcs,demand_spike,medium,3.22,117.12,568.2,132.32,123.72,Kebutuhan melonjak 1.14x dibanding rata-rata 7 hari terakhir.,Verifikasi lonjakan pengungsi/request dan siapkan tambahan stok untuk item terkait.
2024-04-22,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Kisihang,POSKO-1A3E3900,Posko Kisihang,kebersihan,popok_bayi,pcs,critical_stock,medium,0.52,575.57,500.58,653.82,598.77,Stok hanya 0.48 dari ambang kritis.,Prioritaskan distribusi ulang atau restock dari gudang terdekat.
2024-05-09,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Kisihang,POSKO-1A3E3900,Posko Kisihang,kebersihan,popok_bayi,pcs,critical_stock,medium,0.52,436.28,376.29,436.71,364.17,Stok hanya 0.48 dari ambang kritis.,Prioritaskan distribusi ulang atau restock dari gudang terdekat.
2024-05-18,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Kisihang,POSKO-1A3E3900,Posko Kisihang,kebersihan,popok_bayi,pcs,critical_stock,medium,0.52,391.01,340.51,381.7,318.24,Stok hanya 0.48 dari ambang kritis.,Prioritaskan distribusi ulang atau restock dari gudang terdekat.
2024-06-02,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Kisihang,POSKO-1A3E3900,Posko Kisihang,kebersihan,popok_bayi,pcs,demand_spike,medium,3.09,397.24,661.52,453.67,441.09,Kebutuhan melonjak 1.13x dibanding rata-rata 7 hari terakhir.,Verifikasi lonjakan pengungsi/request dan siapkan tambahan stok untuk item terkait.
2024-04-23,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Kisihang,POSKO-1A3E3900,Posko Kisihang,perbekalan_pangan,protein_kaleng,kaleng,critical_stock,medium,0.59,437.79,325.83,463.83,382.37,Stok hanya 0.41 dari ambang kritis.,Prioritaskan distribusi ulang atau restock dari gudang terdekat.
2024-05-24,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Kisihang,POSKO-1A3E3900,Posko Kisihang,shelter,selimut,unit,critical_stock,medium,0.57,91.12,70.88,96.25,93.16,Stok hanya 0.43 dari ambang kritis.,Prioritaskan distribusi ulang atau restock dari gudang terdekat.
2024-05-27,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Kisihang,POSKO-1A3E3900,Posko Kisihang,shelter,selimut,unit,critical_stock,medium,0.69,98.77,54.9,115.01,104.46,Stok hanya 0.31 dari ambang kritis.,Prioritaskan distribusi ulang atau restock dari gudang terdekat.
2024-05-08,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Kisihang,POSKO-1A3E3900,Posko Kisihang,shelter,tikar,unit,critical_stock,medium,0.52,81.12,70.32,80.12,79.26,Stok hanya 0.48 dari ambang kritis.,Prioritaskan distribusi ulang atau restock dari gudang terdekat.
2024-05-19,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Kisihang,POSKO-1A3E3900,Posko Kisihang,shelter,tikar,unit,critical_stock,medium,0.69,68.78,38.83,77.29,78.46,Stok hanya 0.31 dari ambang kritis.,Prioritaskan distribusi ulang atau restock dari gudang terdekat.
2024-05-22,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Kisihang,POSKO-1A3E3900,Posko Kisihang,shelter,tikar,unit,critical_stock,medium,0.56,61.21,48.24,70.65,65.07,Stok hanya 0.44 dari ambang kritis.,Prioritaskan distribusi ulang atau restock dari gudang terdekat.
2024-05-23,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Pumpente,POSKO-68DD7789,Posko Pumpente,air_sanitasi,air_bersih,liter,critical_stock,medium,0.53,3306.26,2776.02,3214.24,2801.15,Stok hanya 0.47 dari ambang kritis.,Prioritaskan distribusi ulang atau restock dari gudang terdekat.
2024-05-05,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Pumpente,POSKO-68DD7789,Posko Pumpente,air_sanitasi,air_minum,liter,demand_spike,medium,3.53,825.19,4497.0,860.29,707.91,Kebutuhan melonjak 1.09x dibanding rata-rata 7 hari terakhir.,Verifikasi lonjakan pengungsi/request dan siapkan tambahan stok untuk item terkait.
2024-05-19,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Pumpente,POSKO-68DD7789,Posko Pumpente,air_sanitasi,air_minum,liter,demand_spike,high,5.58,681.49,477.62,784.78,677.16,Kebutuhan melonjak 1.15x dibanding rata-rata 7 hari terakhir.,Verifikasi lonjakan pengungsi/request dan siapkan tambahan stok untuk item terkait.
2024-05-19,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Pumpente,POSKO-68DD7789,Posko Pumpente,air_sanitasi,air_minum,liter,critical_stock,medium,0.61,681.49,477.62,784.78,677.16,Stok hanya 0.39 dari ambang kritis.,Prioritaskan distribusi ulang atau restock dari gudang terdekat.
2024-05-09,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Pumpente,POSKO-68DD7789,Posko Pumpente,perbekalan_pangan,beras,kg,demand_spike,medium,3.86,123.96,480.19,135.96,114.97,Kebutuhan melonjak 1.08x dibanding rata-rata 7 hari terakhir.,Verifikasi lonjakan pengungsi/request dan siapkan tambahan stok untuk item terkait.
2024-05-11,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Pumpente,POSKO-68DD7789,Posko Pumpente,perbekalan_pangan,beras,kg,demand_spike,medium,3.65,130.62,751.82,125.99,113.86,Kebutuhan melonjak 1.13x dibanding rata-rata 7 hari terakhir.,Verifikasi lonjakan pengungsi/request dan siapkan tambahan stok untuk item terkait.
2024-05-24,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Pumpente,POSKO-68DD7789,Posko Pumpente,perbekalan_pangan,beras,kg,critical_stock,medium,0.66,84.26,51.32,98.34,93.58,Stok hanya 0.34 dari ambang kritis.,Prioritaskan distribusi ulang atau restock dari gudang terdekat.
2024-05-29,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Pumpente,POSKO-68DD7789,Posko Pumpente,perbekalan_pangan,beras,kg,critical_stock,medium,0.54,103.03,84.83,116.45,97.28,Stok hanya 0.46 dari ambang kritis.,Prioritaskan distribusi ulang atau restock dari gudang terdekat.
2024-06-02,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Pumpente,POSKO-68DD7789,Posko Pumpente,kebersihan,hygiene_kit,paket,critical_stock,medium,0.62,18.94,13.12,20.77,19.56,Stok hanya 0.38 dari ambang kritis.,Prioritaskan distribusi ulang atau restock dari gudang terdekat.
2024-04-24,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Pumpente,POSKO-68DD7789,Posko Pumpente,kesehatan,masker,pcs,critical_stock,medium,0.63,699.6,470.59,740.11,764.55,Stok hanya 0.37 dari ambang kritis.,Prioritaskan distribusi ulang atau restock dari gudang terdekat.
2024-05-19,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Pumpente,POSKO-68DD7789,Posko Pumpente,kesehatan,masker,pcs,critical_stock,medium,0.56,552.38,437.3,598.7,594.3,Stok hanya 0.44 dari ambang kritis.,Prioritaskan distribusi ulang atau restock dari gudang terdekat.
2024-05-24,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Pumpente,POSKO-68DD7789,Posko Pumpente,kesehatan,masker,pcs,critical_stock,medium,0.65,479.32,300.47,544.66,552.69,Stok hanya 0.35 dari ambang kritis.,Prioritaskan distribusi ulang atau restock dari gudang terdekat.
2024-05-29,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Pumpente,POSKO-68DD7789,Posko Pumpente,kesehatan,masker,pcs,critical_stock,medium,0.7,491.53,263.09,574.66,531.49,Stok hanya 0.30 dari ambang kritis.,Prioritaskan distribusi ulang atau restock dari gudang terdekat.
2024-06-02,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Pumpente,POSKO-68DD7789,Posko Pumpente,kesehatan,masker,pcs,demand_spike,medium,3.14,548.79,2159.9,644.75,659.57,Kebutuhan melonjak 1.16x dibanding rata-rata 7 hari terakhir.,Verifikasi lonjakan pengungsi/request dan siapkan tambahan stok untuk item terkait.
2024-05-05,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Pumpente,POSKO-68DD7789,Posko Pumpente,perbekalan_pangan,mie_instan,bungkus,demand_spike,medium,3.42,515.33,2850.88,558.13,493.85,Kebutuhan melonjak 1.10x dibanding rata-rata 7 hari terakhir.,Verifikasi lonjakan pengungsi/request dan siapkan tambahan stok untuk item terkait.
2024-05-10,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Pumpente,POSKO-68DD7789,Posko Pumpente,kesehatan,obat_ispa,paket,demand_spike,high,4.72,41.99,158.07,43.69,43.65,Kebutuhan melonjak 1.37x dibanding rata-rata 7 hari terakhir.,Verifikasi lonjakan pengungsi/request dan siapkan tambahan stok untuk item terkait.
2024-05-17,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Pumpente,POSKO-68DD7789,Posko Pumpente,kebersihan,pembalut,pcs,critical_stock,medium,0.57,25.2,19.41,29.47,29.46,Stok hanya 0.43 dari ambang kritis.,Prioritaskan distribusi ulang atau restock dari gudang terdekat.
2024-06-01,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Pumpente,POSKO-68DD7789,Posko Pumpente,kebersihan,pembalut,pcs,critical_stock,medium,0.53,28.7,24.04,32.41,31.67,Stok hanya 0.47 dari ambang kritis.,Prioritaskan distribusi ulang atau restock dari gudang terdekat.
2024-04-28,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Pumpente,POSKO-68DD7789,Posko Pumpente,perbekalan_pangan,protein_kaleng,kaleng,critical_stock,medium,0.53,90.15,76.13,100.33,100.15,Stok hanya 0.47 dari ambang kritis.,Prioritaskan distribusi ulang atau restock dari gudang terdekat.
2024-05-13,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Pumpente,POSKO-68DD7789,Posko Pumpente,shelter,selimut,unit,critical_stock,medium,0.68,29.19,16.58,30.3,31.68,Stok hanya 0.32 dari ambang kritis.,Prioritaskan distribusi ulang atau restock dari gudang terdekat.
2024-06-01,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Boto,POSKO-7BD41A07,Posko Boto,air_sanitasi,air_bersih,liter,demand_spike,high,4.42,6148.56,9832.86,6013.68,5229.55,Kebutuhan melonjak 1.13x dibanding rata-rata 7 hari terakhir.,Verifikasi lonjakan pengungsi/request dan siapkan tambahan stok untuk item terkait.
2024-06-02,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Boto,POSKO-7BD41A07,Posko Boto,air_sanitasi,air_bersih,liter,critical_stock,medium,0.58,5608.06,4211.1,6578.21,5621.76,Stok hanya 0.42 dari ambang kritis.,Prioritaskan distribusi ulang atau restock dari gudang terdekat.
2024-05-09,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Boto,POSKO-7BD41A07,Posko Boto,air_sanitasi,air_minum,liter,critical_stock,medium,0.55,1143.51,935.33,1189.38,1187.14,Stok hanya 0.45 dari ambang kritis.,Prioritaskan distribusi ulang atau restock dari gudang terdekat.
2024-05-18,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Boto,POSKO-7BD41A07,Posko Boto,perbekalan_pangan,beras,kg,critical_stock,medium,0.55,150.28,122.84,160.55,168.27,Stok hanya 0.45 dari ambang kritis.,Prioritaskan distribusi ulang atau restock dari gudang terdekat.
2024-06-01,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Boto,POSKO-7BD41A07,Posko Boto,perbekalan_pangan,beras,kg,critical_stock,medium,0.58,153.69,116.48,170.5,159.71,Stok hanya 0.42 dari ambang kritis.,Prioritaskan distribusi ulang atau restock dari gudang terdekat.
2024-04-22,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Boto,POSKO-7BD41A07,Posko Boto,kebersihan,hygiene_kit,paket,critical_stock,medium,0.66,45.75,28.09,47.23,46.51,Stok hanya 0.34 dari ambang kritis.,Prioritaskan distribusi ulang atau restock dari gudang terdekat.
2024-04-28,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Boto,POSKO-7BD41A07,Posko Boto,kesehatan,masker,pcs,critical_stock,medium,0.66,1403.28,858.95,1634.13,1574.0,Stok hanya 0.34 dari ambang kritis.,Prioritaskan distribusi ulang atau restock dari gudang terdekat.
2024-05-10,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Boto,POSKO-7BD41A07,Posko Boto,kesehatan,masker,pcs,demand_spike,high,4.37,1176.97,5489.77,1278.47,1147.16,Kebutuhan melonjak 1.32x dibanding rata-rata 7 hari terakhir.,Verifikasi lonjakan pengungsi/request dan siapkan tambahan stok untuk item terkait.
2024-04-21,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Boto,POSKO-7BD41A07,Posko Boto,perbekalan_pangan,mie_instan,bungkus,critical_stock,medium,0.53,934.43,786.77,1015.07,886.09,Stok hanya 0.47 dari ambang kritis.,Prioritaskan distribusi ulang atau restock dari gudang terdekat.
2024-05-10,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Boto,POSKO-7BD41A07,Posko Boto,kesehatan,obat_ispa,paket,demand_spike,high,11.73,62.35,274.79,66.35,57.36,Kebutuhan melonjak 1.42x dibanding rata-rata 7 hari terakhir.,Verifikasi lonjakan pengungsi/request dan siapkan tambahan stok untuk item terkait.
2024-05-24,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Boto,POSKO-7BD41A07,Posko Boto,kesehatan,obat_ispa,paket,critical_stock,medium,0.62,35.08,23.86,35.15,33.94,Stok hanya 0.38 dari ambang kritis.,Prioritaskan distribusi ulang atau restock dari gudang terdekat.
2024-05-28,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Boto,POSKO-7BD41A07,Posko Boto,kesehatan,obat_ispa,paket,critical_stock,medium,0.55,32.33,26.25,36.28,31.58,Stok hanya 0.45 dari ambang kritis.,Prioritaskan distribusi ulang atau restock dari gudang terdekat.
2024-05-08,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Boto,POSKO-7BD41A07,Posko Boto,kebersihan,pembalut,pcs,demand_spike,medium,3.79,57.71,141.57,63.47,65.92,Kebutuhan melonjak 1.13x dibanding rata-rata 7 hari terakhir.,Verifikasi lonjakan pengungsi/request dan siapkan tambahan stok untuk item terkait.
2024-05-19,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Boto,POSKO-7BD41A07,Posko Boto,kebersihan,pembalut,pcs,demand_spike,medium,3.95,48.74,240.38,57.24,59.35,Kebutuhan melonjak 1.15x dibanding rata-rata 7 hari terakhir.,Verifikasi lonjakan pengungsi/request dan siapkan tambahan stok untuk item terkait.
2024-06-01,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Boto,POSKO-7BD41A07,Posko Boto,kebersihan,pembalut,pcs,demand_spike,medium,3.57,47.79,38.71,50.36,46.0,Kebutuhan melonjak 1.16x dibanding rata-rata 7 hari terakhir.,Verifikasi lonjakan pengungsi/request dan siapkan tambahan stok untuk item terkait.
2024-06-01,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Boto,POSKO-7BD41A07,Posko Boto,kebersihan,pembalut,pcs,critical_stock,medium,0.55,47.79,38.71,50.36,46.0,Stok hanya 0.45 dari ambang kritis.,Prioritaskan distribusi ulang atau restock dari gudang terdekat.
2024-04-21,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Boto,POSKO-7BD41A07,Posko Boto,kebersihan,popok_bayi,pcs,critical_stock,medium,0.54,83.84,69.82,86.08,79.06,Stok hanya 0.46 dari ambang kritis.,Prioritaskan distribusi ulang atau restock dari gudang terdekat.
2024-04-29,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Boto,POSKO-7BD41A07,Posko Boto,kebersihan,popok_bayi,pcs,critical_stock,medium,0.73,66.42,31.98,77.44,77.45,Stok hanya 0.27 dari ambang kritis.,Prioritaskan distribusi ulang atau restock dari gudang terdekat.
2024-05-14,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Boto,POSKO-7BD41A07,Posko Boto,kebersihan,popok_bayi,pcs,critical_stock,medium,0.66,50.15,30.84,55.47,50.37,Stok hanya 0.34 dari ambang kritis.,Prioritaskan distribusi ulang atau restock dari gudang terdekat.
2024-05-19,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Boto,POSKO-7BD41A07,Posko Boto,kebersihan,popok_bayi,pcs,critical_stock,medium,0.67,56.74,34.19,66.63,65.49,Stok hanya 0.33 dari ambang kritis.,Prioritaskan distribusi ulang atau restock dari gudang terdekat.
2024-05-09,BNC-2024-GM-RUANG,gunung_meletus,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro,Tagulandang,Boto,POSKO-7BD41A07,Posko Boto,perbekalan_pangan,protein_kaleng,kaleng,critical_stock,medium,0.6,139.95,101.13,149.26,128.67,Stok hanya 0.40 dari ambang kritis.,Prioritaskan distribusi ulang atau restock dari gudang terdekat.
